                     objid  nvote  spiral  elliptical  uncertain          ra       dec  petror90_r   expAB_r          u          g          r          i        u-g
79     1237648703525093964     38       0           0          1  233.151657 -0.808186    10.01222  0.716631  18.288750  17.280880  16.905240  16.720200   1.007870
80     1237648703525421273     61       0           1          0  233.790457 -0.663892    14.54406  0.882243  17.547070  15.658060  14.741940  14.307290   1.889010
81     1237648703525814811     29       1           0          0  234.709839 -0.629643    13.13915  0.926111  18.226770  16.842290  16.364160  16.087770   1.384480
82     1237648704059342955     50       0           0          1  227.107328 -0.266261    16.69542  0.753353  17.733020  15.820810  14.878000  14.465400   1.912210
83     1237648704059408699     61       1           0          0  227.209072 -0.396831    10.19373  0.673061  18.728150  17.060770  16.288490  15.905330   1.667380
84     1237648704059474127     31       0           0          1  227.466899 -0.384698    14.89521  0.435640  17.272290  15.128220  14.209230  13.773210   2.144070
85     1237648704059605350     41       0           1          0  227.732359 -0.323543    12.50706  0.782267  17.788980  15.923770  15.076990  14.710740   1.865210
86     1237648704059670794     26       1           0          0  227.904169 -0.272948    12.31584  0.799903  16.749940  15.584990  15.078630  14.769700   1.164950
87     1237648704060194961     55       0           1          0  229.096258 -0.301431    12.31381  0.887395  17.921580  16.050630  15.173140  14.765250   1.870950
88     1237648704060522809     33       0           1          0  229.819255 -0.348952    13.37864  0.587075  18.295220  16.282840  15.410640  15.019620   2.012380
89     1237648704061243716     36       1           0          0  231.437027 -0.291008    13.76070  0.262362  18.451070  16.693170  15.717830  15.204250   1.757900
90     1237648704061505776     31       1           0          0  232.003448 -0.359811    10.79250  0.453768  17.582290  16.270190  15.733450  15.412160   1.312100
91     1237648704061636852     59       0           1          0  232.270170 -0.253881    10.20541  0.787332  20.364010  18.301190  16.932400  16.429710   2.062820
92     1237648704061636915     23       0           1          0  232.303070 -0.252199    18.60889  0.770705  17.738320  15.709480  14.733860  14.285740   2.028840
93     1237648704061702467     36       0           1          0  232.524279 -0.376331    10.79023  0.881317  19.555440  17.677130  16.483960  16.027250   1.878310
94     1237648704061767968     52       0           1          0  232.599355 -0.338963    10.32282  0.986480  18.599850  16.464680  15.568700  15.150540   2.135170
95     1237648704061768134     38       1           0          0  232.688152 -0.369862    12.90617  0.378810  16.928940  15.399490  14.638690  14.242470   1.529450
96     1237648704596148720     37       0           1          0  226.910049  0.052926    12.12893  0.837160  21.383280  18.941550  17.495660  16.959530   2.441730
97     1237648704596410681     33       0           0          1  227.544050  0.035415    11.29245  0.422911  20.934400  18.495830  17.256480  16.668560   2.438570
98     1237648704596410730     34       1           0          0  227.564574  0.040298    11.29406  0.563643  17.367230  15.801350  15.024390  14.626480   1.565880
99     1237648704596476347     27       1           0          0  227.714409  0.173951    10.93357  0.425355  18.331920  17.152520  16.781380  16.565240   1.179400
100    1237648704596541890     53       0           1          0  227.898417  0.098339    12.25247  0.840530  20.318270  18.549620  17.163990  16.658140   1.768650
101    1237648704597196979     47       1           0          0  229.363844  0.119408    12.62132  0.660132  16.953540  15.903340  15.506510  15.254700   1.050200
102    1237648704597327967     28       1           0          0  229.637336  0.045287    11.55049  0.696560  17.742570  16.502810  16.104050  15.898240   1.239760
103    1237648704597328384     30       1           0          0  229.708295  0.010950    11.13654  0.581633  17.784960  16.106510  15.332490  14.948780   1.678450
104    1237648704597786806     27       0           0          1  230.745251  0.098955    13.85931  0.774772  17.484040  15.532590  14.670390  14.231300   1.951450
105    1237648704598507850     34       0           0          1  232.322341  0.122715    10.43404  0.511366  18.764150  17.046090  16.148530  15.704020   1.718060
106    1237648704598638684     65       1           0          0  232.656747  0.091445    10.77715  0.349955  18.898870  16.922900  16.039700  15.608340   1.975970
107    1237648704598704568     31       1           0          0  232.821902  0.126528    12.43251  0.439822  17.297760  16.133080  15.626970  15.331690   1.164680
108    1237648704599228577     65       1           0          0  234.034936  0.092058    14.49172  0.618601  18.206340  16.701480  15.998390  15.651640   1.504860
109    1237648704599818652     53       1           0          0  235.391478  0.180503    10.87067  0.407497  17.390600  16.370360  16.068450  15.819380   1.020240
110    1237648705133347051     35       0           1          0  227.671893  0.444198    13.94584  0.956846  17.962510  16.001990  15.084000  14.671540   1.960520
111    1237648705133347074     45       1           0          0  227.674527  0.461569    10.25939  0.366514  18.119740  16.695690  15.972290  15.598820   1.424050
112    1237648705134526835     35       1           0          0  230.407753  0.466027    16.18990  0.379695  16.953680  15.557470  14.847150  14.507180   1.396210
113    1237648705134592201     32       0           1          0  230.591417  0.528799    13.49019  0.556800  17.617610  15.722250  14.882580  14.474970   1.895360
114    1237648705134723480     25       0           1          0  230.818082  0.554911    11.91953  0.670330  18.703630  16.820170  15.865030  15.443370   1.883460
115    1237648705135116577     45       1           0          0  231.710706  0.590130    12.61105  0.810954  17.492630  16.348320  15.891880  15.630720   1.144310
116    1237648705135641098     33       0           0          1  233.007291  0.557853    11.08138  0.561735  18.360660  16.512290  15.638990  15.218200   1.848370
117    1237648705135706511     32       0           1          0  233.089527  0.505977    10.44022  0.924423  18.628610  16.826080  15.903280  15.502800   1.802530
118    1237648705135771804     36       0           1          0  233.241798  0.440735    31.63945  0.771797  16.253520  14.330230  13.431630  13.013260   1.923290
119    1237648705136033820     32       0           1          0  233.786482  0.492666    11.53334  0.933290  19.839860  17.831540  16.728190  16.285630   2.008320
120    1237648705136230820     28       1           0          0  234.351219  0.554023    11.03876  0.926599  17.780440  16.610990  16.140770  15.864860   1.169450
121    1237648705136558224     54       0           0          1  235.094117  0.485528    10.33735  0.199979  18.152050  17.319840  16.496700  16.276860   0.832210
122    1237648705136558316     26       0           1          0  235.004487  0.517483    20.99552  0.876992  18.322920  16.335420  15.321960  14.894940   1.987500
123    1237648705671201105     37       1           0          0  229.938536  0.879290    13.37938  0.418021  17.650490  16.050690  15.304390  14.931010   1.599800
124    1237648720715251728     60       0           1          0  228.797776 -0.547667    11.34884  0.936984  18.481350  16.539260  15.619870  15.209090   1.942090
125    1237648720715317405     57       1           0          0  228.930338 -0.423330    16.24875  0.163545  18.344650  16.920160  16.284440  15.941270   1.424490
126    1237648720715383163     56       1           0          0  229.203190 -0.601855    10.29037  0.882028  18.892770  17.145930  16.455380  16.081740   1.746840
127    1237648720715710668     46       1           0          0  229.866404 -0.421482    11.37148  0.848028  18.274360  16.698490  15.803550  15.440120   1.575870
128    1237648720716038212     69       0           1          0  230.629746 -0.472107    10.06590  0.857563  18.869390  16.888120  15.809540  15.365610   1.981270
129    1237648720716103907     65       1           0          0  230.769844 -0.516591    10.24620  0.214789  18.874650  17.667140  17.191390  16.894090   1.207510
130    1237648720716431623     30       0           1          0  231.545279 -0.454230    10.72786  0.654201  18.129490  16.251720  15.359910  14.956400   1.877770
131    1237648720716562641     31       0           0          1  231.853275 -0.444057    11.03499  0.569280  17.233310  15.762010  15.020720  14.618630   1.471300
132    1237648720716628494     30       1           0          0  232.020932 -0.475507    11.01500  0.199992  18.713530  17.551610  17.085600  16.754760   1.161920
133    1237648720716693913     45       0           0          1  232.101014 -0.497584    10.30247  0.904321  18.626730  17.587010  17.099230  16.834010   1.039720
134    1237648720716824660     30       0           0          1  232.423520 -0.510870    14.59935  0.814045  17.826050  16.361040  15.777960  15.479880   1.465010
135    1237648720717087121     38       1           0          0  233.090314 -0.430466    13.81058  0.773320  17.861780  15.936250  15.062380  14.639100   1.925530
136    1237648720717808059     25       0           1          0  234.746068 -0.424877    12.31750  0.773377  18.346890  16.432840  15.527950  15.140930   1.914050
137    1237648720718201188     39       1           0          0  235.603338 -0.442873    11.61075  0.410257  18.134430  16.660110  15.988240  15.619920   1.474320
138    1237648721252188277     30       1           0          0  228.965466 -0.179647    11.19371  0.959533  18.531600  17.225620  16.742000  16.467260   1.305980
139    1237648721252188601     29       1           0          0  229.025276 -0.163564    10.27015  0.524957  18.270960  16.801580  15.963540  15.550110   1.469380
140    1237648721252254125     23       1           0          0  229.162281 -0.040600    10.08601  0.587583  17.781790  16.189280  15.406730  14.980490   1.592510
141    1237648721252516208     26       0           1          0  229.782763 -0.183405    10.21618  0.767706  18.474730  16.590800  15.753900  15.368670   1.883930
142    1237648721253564588     64       1           0          0  232.073294 -0.132135    15.29998  0.541179  16.116660  15.147010  14.818370  14.609100   0.969650
143    1237648721253761217     42       1           0          0  232.526095 -0.054568    11.20955  0.787592  18.120190  16.449050  15.719540  15.368340   1.671140
144    1237648721254285735     30       0           1          0  233.863900 -0.023045    12.27303  0.831130  19.262880  17.274710  16.206020  15.768630   1.988170
145    1237648721254481977     31       0           0          1  234.238034 -0.087819    11.57409  0.704878  17.493380  15.751330  15.030950  14.669240   1.742050
146    1237648721254875626     35       1           0          0  235.169008 -0.159319    18.38309  0.518115  17.237400  15.466710  14.658720  14.234160   1.770690
147    1237648721255202826     63       0           1          0  235.836707 -0.193186    11.26388  0.859128  18.602280  16.675420  15.789320  15.394790   1.926860
148    1237648721788404180     38       0           0          1  227.460984  0.283224    11.12431  0.957839  19.139350  17.668970  17.155850  16.848240   1.470380
149    1237648721788797262     56       0           1          0  228.456706  0.359386    13.88978  0.965524  18.598670  16.613140  15.675890  15.269010   1.985530
150    1237648721788862905     48       1           0          0  228.577101  0.298261    10.18095  0.719192  18.804550  17.556830  17.269800  17.077550   1.247720
151    1237648721789124738     28       0           1          0  229.167574  0.250528    12.41275  0.707870  17.000960  15.497980  14.675240  14.242100   1.502980
152    1237648721789387064     38       1           0          0  229.769855  0.413726    11.07466  0.465804  17.882920  16.553630  16.014330  15.713340   1.329290
153    1237648721790304311     31       1           0          0  231.812468  0.363590    14.86171  0.621810  17.644940  15.798160  14.935120  14.556640   1.846780
154    1237648721790304642     31       1           0          0  231.897055  0.289195    12.48701  0.581101  16.632740  14.974530  14.189300  13.772160   1.658210
155    1237648721790370013     54       0           0          1  231.948100  0.269215    10.12642  0.933597  17.830300  16.588230  16.075080  15.736520   1.242070
156    1237648721790697709     33       1           0          0  232.693781  0.277831    16.56799  0.549974  16.987800  15.910340  15.556180  15.349330   1.077460
157    1237648721790959694     27       0           1          0  233.330740  0.359544    11.43554  0.562209  19.380080  17.365750  16.349260  15.942400   2.014330
158    1237648721790959807     24       0           0          1  233.386891  0.358401    10.48376  0.659515  18.957880  16.936040  15.973820  15.477480   2.021840
159    1237648722325143699     22       0           0          1  227.228388  0.809536    11.35785  0.834581  18.010690  16.351190  15.469660  15.041390   1.659500
160    1237648722325995700     58       0           0          1  229.214276  0.796745    11.36378  0.649898  18.054650  16.660990  16.007220  15.697690   1.393660
161    1237648722326126774     49       0           1          0  229.475093  0.828673    19.40899  0.570556  17.132130  15.324140  14.510110  14.119830   1.807990
162    1237650369404207410     29       0           0          1  170.828294 -3.373201    10.51941  0.553979  19.331300  18.075120  17.691200  17.490810   1.256180
163    1237650369406763117     47       0           0          1  176.760574 -3.332077    10.86768  0.836399  18.692580  17.534680  16.912250  16.563670   1.157900
164    1237650369406763240     30       0           0          1  176.672712 -3.510497    10.02077  0.735505  21.457630  18.920150  17.550610  17.062740   2.537480
165    1237650369406828785     25       1           0          0  176.845398 -3.375314    11.07513  0.458751  19.016460  17.421700  16.754940  16.397790   1.594760
166    1237650369406894091     33       1           0          0  176.941600 -3.319916    14.22408  0.650008  17.105300  15.714790  15.204100  14.940070   1.390510
167    1237650369406959638     36       0           0          1  177.112316 -3.384072    13.05347  0.837114  18.775710  16.724500  15.813710  15.404810   2.051210
168    1237650369407025361     62       1           0          0  177.384719 -3.476177    10.79086  0.935050  16.135180  15.087360  14.593810  14.319240   1.047820
169    1237650369407090691     32       0           1          0  177.397501 -3.488152    17.55609  0.531520  16.512550  14.632660  13.783450  13.336920   1.879890
170    1237650369407090741     29       0           0          1  177.410003 -3.508220    10.96930  0.674357  17.307780  15.904690  15.256290  14.895970   1.403090
171    1237650369407090853     40       1           0          0  177.457403 -3.517670    15.65959  0.327985  16.825850  15.223690  14.438840  14.018810   1.602160
172    1237650369407549643     27       0           1          0  178.573708 -3.425568    10.76785  0.618654  19.667100  18.005390  17.107660  16.717080   1.661710
173    1237650369408139534     30       1           0          0  179.934369 -3.399019    21.61409  0.353472  17.134220  16.198340  15.785350  15.590560   0.935880
174    1237650369408204875     44       0           0          1  179.946253 -3.354346    11.24000  0.429388  18.109430  16.359830  15.599490  15.241120   1.749600
175    1237650369409187922     61       0           0          1  182.190276 -3.352497    10.05183  0.613443  18.539880  16.665740  15.731550  15.298940   1.874140
176    1237650369409450067     35       1           0          0  182.866063 -3.433678    11.19108  0.709197  17.813390  16.046020  15.245660  14.877260   1.767370
